Date,Sales
2023-01-01,525.0
2023-01-02,498.0
2023-01-03,543.0
2023-01-04,592.0
2023-01-05,509.0
2023-01-06,514.0
2023-01-07,610.0
2023-01-08,574.0
2023-01-09,518.0
2023-01-10,573.0
2023-01-11,528.0
2023-01-12,533.0
2023-01-13,573.0
2023-01-14,470.0
2023-01-15,485.0
2023-01-16,548.0
2023-01-17,530.0
2023-01-18,601.0
2023-01-19,544.0
2023-01-20,524.0
2023-01-21,672.0
2023-01-22,592.0
2023-01-23,611.0
2023-01-24,541.0
2023-01-25,589.0
2023-01-26,626.0
2023-01-27,567.0
2023-01-28,647.0
2023-01-29,603.0
2023-01-30,622.0
2023-01-31,610.0
2023-02-01,736.0
2023-02-02,647.0
2023-02-03,598.0
2023-02-04,695.0
2023-02-05,596.0
2023-02-06,671.0
2023-02-07,566.0
2023-02-08,600.0
2023-02-09,679.0
2023-02-10,709.0
2023-02-11,683.0
2023-02-12,671.0
2023-02-13,664.0
2023-02-14,608.0
2023-02-15,648.0
2023-02-16,663.0
2023-02-17,740.0
2023-02-18,707.0
2023-02-19,603.0
2023-02-20,709.0
2023-02-21,675.0
2023-02-22,661.0
2023-02-23,727.0
2023-02-24,749.0
2023-02-25,744.0
2023-02-26,657.0
2023-02-27,684.0
2023-02-28,716.0
2023-03-01,749.0
2023-03-02,676.0
2023-03-03,691.0
2023-03-04,645.0
2023-03-05,640.0
2023-03-06,740.0
2023-03-07,767.0
2023-03-08,694.0
2023-03-09,747.0
2023-03-10,714.0
2023-03-11,663.0
2023-03-12,712.0
2023-03-13,770.0
2023-03-14,690.0
2023-03-15,768.0
2023-03-16,557.0
2023-03-17,727.0
2023-03-18,689.0
2023-03-19,667.0
2023-03-20,685.0
2023-03-21,579.0
2023-03-22,664.0
2023-03-23,691.0
2023-03-24,744.0
2023-03-25,642.0
2023-03-26,624.0
2023-03-27,637.0
2023-03-28,704.0
2023-03-29,672.0
2023-03-30,625.0
2023-03-31,674.0
2023-04-01,650.0
2023-04-02,690.0
2023-04-03,603.0
2023-04-04,618.0
2023-04-05,610.0
2023-04-06,553.0
2023-04-07,637.0
2023-04-08,631.0
2023-04-09,614.0
2023-04-10,598.0
2023-04-11,534.0
2023-04-12,579.0
2023-04-13,579.0
2023-04-14,551.0
2023-04-15,579.0
2023-04-16,602.0
2023-04-17,672.0
2023-04-18,581.0
2023-04-19,581.0
2023-04-20,559.0
2023-04-21,462.0
2023-04-22,552.0
2023-04-23,551.0
2023-04-24,666.0
2023-04-25,528.0
2023-04-26,548.0
2023-04-27,526.0
2023-04-28,464.0
2023-04-29,574.0
2023-04-30,550.0
2023-05-01,546.0
2023-05-02,456.0
2023-05-03,567.0
2023-05-04,421.0
2023-05-05,516.0
2023-05-06,591.0
2023-05-07,426.0
2023-05-08,442.0
2023-05-09,471.0
2023-05-10,435.0
2023-05-11,378.0
2023-05-12,454.0
2023-05-13,392.0
2023-05-14,464.0
2023-05-15,390.0
2023-05-16,508.0
2023-05-17,387.0
2023-05-18,405.0
2023-05-19,457.0
2023-05-20,350.0
2023-05-21,418.0
